信件标题,信件编号,办理单位,状态,类型,链接
一个疑问,G20171111-0001,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa6ae6697172d
自主择业干部更正工资档次不给解决,G20171110-0024,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa57dbc57169b
暖气不热,G20171110-0023,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa57524711695
无证流动商贩占用小区地上停车位经营,G20171110-0017,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa49b153b161c
周水子飞机场噪声污染,G20171110-0015,大连机场集团,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa43c43bf15c5
暖气不热，供暖部门迟迟不予解决。,G20171110-0014,甘井子区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa428faaa15b7
占道经营  影响交通,G20171110-0012,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa417974e15b0
关于退休最后一月工资事宜咨询,G20171110-0002,人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa374a7181508
大连大发电供热公司未按市供热标准为小区供热,G20171110-0001,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa2db84d314b7
粮食直补,G20171109-0043,瓦房店市,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa126b805143a
2017年农村种粮直补发放,G20171109-0039,瓦房店市,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa10f18b5142e
从事特种职业自由船员可以55岁退休吗？,G20171109-0037,人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa0f8b9bf1422
破坏环境违法在小区居民楼内地下施工建洗浴中心,G20171109-0036,环保局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015fa0d45b091410
对12345平台若干问题的咨询，请据实答复。,G20171109-0031,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9f83fcb71341
提升电力水平，改善交通状况,G20171109-0027,庄河市人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9f66a773131e
大连九创不按合同办事，额外要钱，不给就停工！,G20171109-0023,甘井子区市场监督管理局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9f2bbd6912eb
投诉金三角居然之家克蕾诗蒂,G20171109-0020,甘井子区市场监督管理局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9ed8484812a8
建议,G20171109-0018,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9ed2e87a12a1
中国足球建议,G20171109-0017,体育局,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9ec976c71299
高校毕业生住房保障问题咨询/求助,G20171109-0015,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9ec855e31296
建议,G20171109-0013,民政局,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9eba02e41285
高校毕业生住房保障问题咨询/求助,G20171109-0011,住房保障中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9e885037125a
环宇供暖，暖气根本不热。,G20171109-0009,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9e71cab91244
连续两年 暖气一点也不热,G20171109-0006,甘井子区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9e6054351232
供暖不热,G20171109-0007,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9e5fd1f9122f
关于大连诺之缘商贸有限公司收款不发货不开票连人都找不着了,G20171109-0004,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9e506723121c
关于购买二套房税费事宜,G20171108-0040,地税局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9c2562c91125
执法追控书,G20171108-0037,庄河市人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9b5e73a710d0
社保卡解挂,G20171108-0034,人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9accfc351080
环境污染，扬尘,G20171108-0028,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9a9eaef3105b
户口落户,G20171108-0024,开发区分局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9a6c8d221024
公司拖欠工资，未按期缴纳公积金，仲裁需要什么资料,G20171108-0023,甘井子区人社局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9a68eb071020
企业名称预先核准,G20171108-0019,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9a1d97290fce
父亲今年57岁，还可以办新农保吗？,G20171108-0018,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9a0f356c0fbd
养老保险,G20171108-0010,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f99ae47800f6e
题 关于大连诺之缘商贸有限公司收款不发货不开票连人都找不着了,G20171108-0009,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f998b2d1c0f55
大连北站进站之前没有任何公共座位,G20171108-0008,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f99654ed40f26
大连市不动产登记中心,G20171108-0004,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9932ea2e0eec
庄河市兰店乡中心小学,G20171107-0025,庄河市人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f961283790d4e
医保社保异地迁移及年限延续问题,G20171107-0023,人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f95f32ac20d3d
关于大连市内四区摩托车禁行的咨询,G20171107-0017,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f957f5dbd0ce6
开房产证明,G20171107-0015,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9544570b0ca9
远洋物业超收物业费,G20171107-0014,甘井子区发改局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f952f6b710c9d
远洋物业超收物业费,G20171107-0008,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9454fb790be6
会员卡维权,G20171107-0005,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9423a8c00bb6
开设对外贸易公司,G20171107-0002,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f93e45ae00b75
米兰西点老板“跑路”，办的贵宾卡，还有100多元余额未消费,G20171106-0035,甘井子区市场监督管理局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f91c498500a86
三十里堡有人组织黑彩，很多人在玩，影响极大,G20171106-0034,金普新区管理委员会,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f9169db960a5e
大连·庄河市兰店乡中心小学,G20171106-0033,庄河市人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f913f21cb0a48
关于更改身份证民族的问题,G20171106-0030,保税区分局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f908fcf8109e1
关于土地增值税成本分摊有关问题的咨询,G20171106-0027,地税局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f907b892709ca
关于土地增值税成本分摊有关问题的咨询,G20171106-0026,地税局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f906c83dc09c0
询问信件未办理、未回复的具体原因,G20171106-0025,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f902d15f50980
社保缴费中断,G20171106-0021,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8ffe2181093f
新农合异地就医问题,G20171106-0020,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8ffc008a093c
方正宽带等在楼道内乱贴广告,G20171106-0014,沙河口区白山路街道办事处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8f5e82e408c4
违章建筑的巍然不动是“权钱交易”还是不作为？,G20171106-0006,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8f0a4d65085f
分公司注销,G20171106-0005,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8f098245085e
供暖日家里没有供暖，请求测温，赔偿,G20171106-0004,甘井子区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8ee463fd0835
6号供暖温度不达标,G20171106-0002,甘井子区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8ebc13e40805
养老保险政策,G20171106-0001,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8eb49a0c07fe
无房证明,G20171105-0023,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8c1c919606f0
无房证明,G20171105-0021,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8c1664f806eb
远洋荣域A4区供暖问题,G20171105-0016,甘井子区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8b8964ed06a6
220602195602120915是大连的吗,G20171105-0010,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8ac79125063d
暖气不热,G20171105-0008,甘井子区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f89ffcdeb05dd
非农是否可以交医疗保险,G20171105-0007,庄河市人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f896d2ac205a0
远洋荣域b1区到了供暖日期5日，没有温度！,G20171105-0006,甘井子区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8967eb85059c
远洋荣域B1区暖气问题,G20171105-0005,甘井子区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8962df940599
远洋荣域小区没有如期供暖我们要求测温,G20171105-0004,甘井子区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f895b139b058f
甘井子区远洋荣域小区至今未供暖,G20171105-0003,甘井子区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f8954d037058a
举报民运街派出所,G20171105-0001,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f882a69840521
企业强加理由开除在职员工  并不给予任何补助  严重违反劳动法,G20171104-0002,长兴岛经济区,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f84d4d53c03b2
关于恢复供暖一些事,G20171104-0001,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f849f363a0398
大连诺之缘商贸有限公司收钱不发货,G20171103-0025,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f80fbc4950221
写字楼内吸烟，侵害其他业主权利,G20171103-0013,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f80165f47017d
大连西岗区恒隆商场破坏全市营商环境，失德失信，恶意打击报复欺负一个刚步入社会的年轻创业学生,G20171102-0025,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f7caafde37fdc
之前一直在外地使用的大连牌照的车被变为黄标车，没来得及升绿标，怎么办？,G20171102-0021,环保局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f7ba94ff17f55
大连大发热电收取2016.11月-2017年4月的取暖费，不供热不退费,G20171102-0018,供热办,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f7b50944c7eea
TCL冰箱质保期内胆有裂纹,G20171102-0013,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f7a93e57b7e5c
我哪个车轮超速了,G20171102-0011,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f7a60fee87e2c
咨询G20171017-0001结果,G20171102-0010,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f7a60ae257e2b
关于国家电网架设电线杆占地问题,G20171102-0004,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f7a1005d77ddf
手机丢失,G20171101-0023,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f77d4115e7d1a
明星元（大连）文化传播有限公司不发工资,G20171101-0021,人力资源和社会保障局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f77a761077d09
询企业退休人员养老金构成中应该如何区分固定部分？,G20171101-0016,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f76f2a5f07cac
软件园软景中心写字楼空调无法正常使用，一直未解决,G20171101-0015,高新区国土房屋局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f769881487c7c
关于大连市旅顺口区经济开发区大连佐竹化工机械有限公司加工机械产生废气和噪声污染的反映,G20171101-0013,旅顺口区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f7654f7bd7c41
询问美术工作室相关事宜,G20171101-0005,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f756574577b91
养老保险与医疗保险,G20171031-0023,社保中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f724eb5f97a1d
东海街和海口路交汇口噪音问题,G20171031-0018,环境保护局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f714c174c7991
我能要到我的劳动补偿款吗,G20171031-0015,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f71257aeb7973
医保报销比例,G20171031-0013,瓦房店市,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f70de94c7793c
金州鸿玮澜山和院西侧及北侧停车场是否合法,G20171031-0005,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f70068ac57893
因《商品房买卖合同》条款协商不一致，开发商(大华集团大连置业有限公司)拒绝退还定金。望相关部门可以进行行政干预,G20171030-0038,高新区国土房屋局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6ce5a5fd77a8
关于2017年初级会计证领取时间的问题,G20171030-0035,人才服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6cb3e3647785
集体户口,G20171030-0032,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6c757f217765
长海县大长山岛镇南海坨岭西棚改因为养殖户拒绝签字一拖再拖的问题,G20171030-0027,长海县人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6c3065a67735
关于大连清源能源诈骗案的举报信,G20171030-0026,保税区分局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6c2b7c1b772c
请问我这种情况可以自行去银行办理社保卡吗？,G20171030-0025,人力资源和社会保障局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6c1e10897720
关于契税优惠政策,G20171030-0020,地税局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6be27fce76e8
异地退休老人如何在大连办理暂住证,G20171030-0019,高新园区分局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6bda179e76da
噪声扰民,G20171030-0007,沙河口区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6affb55e7635
举报非法行医,G20171030-0008,瓦房店市,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6afd8e2d7633
办理社保卡无身份证照片信息,G20171030-0006,人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f6ae628f0761c
依法依规办事，依法拆除私搭乱建房。,G20171029-0016,庄河市人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f68295990751b
在饿了么平台订餐吃到苍蝇死尸，,G20171029-0014,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f67b8748c74f8
患者慕名到知名专家好大夫曹铭谦处看病，却在好大夫名医团队遭遇无医德不公平的对待，患者要求好大夫曹铭谦以身作责还患者公道！,G20171029-0013,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f679f210f74f1
慕名去好大夫曹铭谦名医团队看病，结果名医团队徒有虚名，不文明不尊重患者职业素质低，好大夫曹铭谦更是道德地下滥用无医德医生林彬（林杉），完全不顾及好大夫使命及口碑损害患者权益和身心健康,G20171029-0012,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f676a765974db
举报海外人士非法持有身份证,G20171029-0003,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f65e9e2c2745a
养老保险缴费清单查询,G20171029-0002,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f659197e97440
早道日语网校拒绝退学费 已附地址,G20171028-0006,高新区文教卫生局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f61ee2d96733d
公司改变工作性质，是否可以立即辞职,G20171027-0024,人力资源和社会保障局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f5d897ccb71bc
"建筑工地夜间22点之后仍施工,影响附近居民休息",G20171027-0023,环保局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f5cd007d77177
大连市医保用户在北京门诊看病能付报销？如何报销？,G20171027-0022,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f5cc631867172
技能提升补贴去哪里办理，如何办？,G20171027-0018,人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f5c3c65af710c
申请落户什么时候能通过审核,G20171027-0007,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f5b6347837071
试用期离职是不是没有薪资？,G20171027-0002,人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f5b2b356e7036
甘井子区中华街道综合执法大队,G20171026-0020,甘井子区中华路街道,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f586b6b8b6f74
档案查不到 派出所能开死亡证明吗,G20171026-0016,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f57c94d1a6f24
自家是否可以安装电梯,G20171026-0015,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f57c3728b6f1e
外商投资企业代表处注销,G20171026-0012,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f57381fea6eb6
关于公务员工龄认定问题的建议,G20171026-0010,人力资源和社会保障局,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f56d582e16e74
表扬为人民服务的好干部,G20171026-0004,花园口经济区,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f56333f866e07
大连特种设备监督检验所官网是什么,G20171025-0032,质量技术监督局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f53b9437f6d25
开发区步行街环境太差了，痛心,G20171025-0031,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f535dc45d6d01
12345服务人员 8066号态度很差,G20171025-0029,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f52d6e2b86cbf
农村房照补发，何时可以办理,G20171025-0020,庄河市人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f521d3a306c16
星海广场“天书”建筑安全隐患,G20171025-0017,大连市星海湾开发建设管理中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f51de9dd66be6
关于积分落户中的社保问题,G20171025-0014,社保中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f516fb6236ba9
山居笔记物业涉嫌乱收费,G20171025-0012,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f516744506b9e
山居笔记小区公共建设方面要业主自己出钱应不应该,G20171025-0011,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f51629c896b9c
省内异地办理港澳台通行证,G20171025-0008,出入境管理局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f512a0b216b71
关于户籍管理费和档案管理费,G20171025-0007,西岗区人社局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f511a74936b65
会计从业资格证调转手续,G20171025-0005,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f50eecdd06b41
养老保险转移,G20171025-0004,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f50edf3e66b40
抚恤金,G20171024-0023,人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f4d5af0b869db
房产增加共有产权人名的手续,G20171024-0021,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f4d1e4ec169a1
中航华府私自承建黑心供暖公司寒了业主的心。,G20171024-0012,甘井子区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015f4c6d24bd6910
