反映内容,反映时间,反映标题,反馈时间,受理单位,受理编号,处理状态,答复内容,链接
我是一名普兰店的退休工人，2016你退休，早期在金州盐场工作交的社保，后期盐场倒闭个人交了几年，退休前在大连的民企工作交的社保，办退休时大连答复由于户口在普兰店没有取暖费，不知为什么，在普兰店办退休的就有，普兰店和大连咋还不是一个正策呢，望相关部门处理，谢谢！,2017-09-29 20:12:51,退休金取暖费,2017-10-11 10:32:14,人力资源和社会保障局,G20170929-0025,已办结,经与诉求人电话沟通联系，了解到诉求人的诉求已解决。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ecd8105d301d1
本人从本年8月31日在12345网上热线投诉多次关于秀月麒林商业无预售证销售问题。你网对受理编号G20170920-0002昨日回复：“尊敬的网友您好：市民，您好！该地块2016年8月份已经确定房屋预售许可证，车位属于产权的一种，和商品房一样，都可以办理产权证，因此也是预售范围内。感谢您的留言！”本人针对你网上列回复质疑如下：桃源街2号地（秀月麒林桃源街1号），该地块2016年8月份已经确定房屋预售许可证，仅仅是住宅的预售证，此信息可到相关部门及网站查询核实。车位及地下公建没缴纳土地出让金，报纸也无公示，何以办理预售许可?中山区执法局做为参与城市的中长期发展规划和专业规划、城市建设项目设计方案、初步设计以及竣工验收的审查等工作的政府重要职能部门，什么水平?明明还没有办理预售销售车位，你局却草草回复已经确定房屋预售许可证，车位属于产权的一种。本人再次投诉请你局认真查处，勿要包庇财政利益流失?,2017-09-29 21:10:36,秀月麒林桃源街1号违规销售问题,2017-10-17 10:43:33,大连市公共行政服务中心,G20170929-0030,已办结,尊敬的网友您好：相同问题，正在联系,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ecdbd480a01e0
长海县工商局接到我的举报，上一个经营者搬走后，营业执照没有变更，但是在新的地点依然经营，我举报后，工商局无作为，并说这事不用我们管，到目前为止，该经营者依然在违法经营，工商局没有进行处罚或禁止他经营或吊销他营业执照等行为，导致我目前没有办法办理营业执照，希望有关部门尽快给我一个答复并对工商部门至今为止的做法做出相应措施，否则我将上诉到更高有关部门,2017-09-29 21:14:01,长海工商局接到违规经营举报，没有进行处罚或任何行动,2017-10-17 08:43:18,长海县市场监督管理局,G20170929-0031,已办结,尊敬的网友您好：2017年10月9日，大长山市场监督管理所执法人员到实地进行调查了解。经查，投诉人举报的经营者为长海县大长山岛镇红英商店，经营者为周德袖，营业执照经营地址为长海县大长山岛镇四块石A园15号。因长海县大长山岛镇四块石A园15号房主将房屋出租给本件的投诉人，原经营者周德袖只能将商店搬迁到附近的一个车库内，未能将原营业执照经营地址进行变更。针对上述情况，执法人员当场向红英商店经营者周德袖进行了法规宣传和解读:“根据《食品经营许可管理办法》第四条，食品经营许可实行一地一证原则，只有将长海县大长山岛镇红英商店食品经营许可证注销、营业执照地址变更，投诉人才能办理新的营业执照和食品经营许可证”。并同时下达了《责令改正通知书》要求其限期变更经营地址。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ecdbf999d01e2
长海县工商局接到我的举报，上一个经营者搬走后，营业执照没有变更，但是在新的地点依然经营，我举报后，工商局无作为，并说这事不用我们管，到目前为止，该经营者依然在违法经营，工商局没有进行处罚或禁止他经营或吊销他营业执照等行为，导致我目前没有办法办理营业执照，希望有关部门尽快给我一个答复并对工商部门至今为止的做法做出相应措施，否则我将上诉到更高有关部门,2017-09-29 21:40:02,长海工商局接到违规经营举报，没有进行处罚或任何行动,2017-10-17 08:47:05,长海县市场监督管理局,G20170929-0034,已办结,尊敬的网友您好：2017年10月9日，大长山市场监督管理所执法人员到实地进行调查了解。经查，投诉人举报的经营者为长海县大长山岛镇红英商店，经营者为周德袖，营业执照经营地址为长海县大长山岛镇四块石A园15号。因长海县大长山岛镇四块石A园15号房主将房屋出租给本件的投诉人，原经营者周德袖只能将商店搬迁到附近的一个车库内，未能将原营业执照经营地址进行变更。针对上述情况，执法人员当场向红英商店经营者周德袖进行了法规宣传和解读:“根据《食品经营许可管理办法》第四条，食品经营许可实行一地一证原则，只有将长海县大长山岛镇红英商店食品经营许可证注销、营业执照地址变更，投诉人才能办理新的营业执照和食品经营许可证”。并同时下达了《责令改正通知书》要求其限期变更经营地址。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ecddcdaf501f8
长海县工商局接到我的举报，上一个经营者搬走后，营业执照没有变更，但是在新的地点依然经营，我举报后，工商局无作为，并说这事不用我们管，到目前为止，该经营者依然在违法经营，工商局没有进行处罚或禁止他经营或吊销他营业执照等行为，导致我目前没有办法办理营业执照，希望有关部门尽快给我一个答复并对工商部门至今为止的做法做出相应措施，否则我将上诉到更高有关部门,2017-09-29 21:41:23,长海工商局接到违规经营举报，没有进行处罚或任何行动,2017-10-17 08:44:56,长海县市场监督管理局,G20170929-0035,已办结,尊敬的网友您好：2017年10月9日，大长山市场监督管理所执法人员到实地进行调查了解。经查，投诉人举报的经营者为长海县大长山岛镇红英商店，经营者为周德袖，营业执照经营地址为长海县大长山岛镇四块石A园15号。因长海县大长山岛镇四块石A园15号房主将房屋出租给本件的投诉人，原经营者周德袖只能将商店搬迁到附近的一个车库内，未能将原营业执照经营地址进行变更。针对上述情况，执法人员当场向红英商店经营者周德袖进行了法规宣传和解读:“根据《食品经营许可管理办法》第四条，食品经营许可实行一地一证原则，只有将长海县大长山岛镇红英商店食品经营许可证注销、营业执照地址变更，投诉人才能办理新的营业执照和食品经营许可证”。并同时下达了《责令改正通知书》要求其限期变更经营地址。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ecdde361201fe
收悉大连市电业局民意回复：网友您好，根据省物价局最新规定，已经取消配套费。请问：在新文件下发前开发的项目怎么处理？请回复,2017-09-29 23:12:39,收悉大连市电业局民意回复：网友您好，根据省物价局最新规定，已经取消配套费。请问：在新文件下发前开发的项目怎么处理？请回复,2018-07-26 15:51:56,大连市公共行政服务中心,G20170929-0039,已办结,尊敬的网友您好：办结。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ece304cfd0209
在工作地参加MBA考试，考点要求：具有北京市户籍或工作单位在北京的京外户籍考生。现场确认时，须提供户籍证明，后者还须提供与工作单位签订的有效期内的劳动合同并工作单位缴纳的社保证明的复印件，提供虚假证明信息的，一经查实，将取消考试、录取资格。请问长海县大长山派出所不给我开怎么办？,2017-09-30 08:33:35,开据户籍证明,2017-10-24 16:14:51,长海县公安局,G20170930-0001,已办结,您的诉求问题，我局已于10月17日收悉，经了解，您的家人在9月底到大长山派出所电话咨询过办理户籍证明的相关事宜，大长山岛派出所内勤民警依法进行了政策解答。10月9日上午，网民持居民户口簿、居民身份证到大长山派出所户籍窗口开具户籍证明。按照2016年9月1日开始执行《关于改进和规范公安派出所出具证明工作的意见》（以下简称《意见》）的要求，中华人民共和国居民户口簿、居民身份证、护照是公民法定身份证件，具有证明公民身份的法律效力。对于居民户口簿、居民身份证、护照完全能够证明的信息，有关单位及其工作人员应予认可，公安派出所不再出具证明。经询问，网民所要开具的户籍证明需证明信息为基本个人信息（姓名、性别、身份证号码、户籍登记地址），居民户口簿、居民身份证上均有详细登记，按照《意见》的要求，网民的情况派出所不再出具证明，派出所户籍内勤对网民进行了告知，并向其出示《意见》相关条款规定。网民因怕持居民户口簿、居民身份证无法通过报考，坚持要开具户籍证明，户籍内勤秉承服务人民、方便群众，为网民更换了具有最新登记日期的《居民户口簿》，并开具了《常住人口基本信息》表，该表上登记了网民报考所需个人基本信息，以方便网民顺利通过报考。大长山岛派出所内勤民警现接网民因开具户籍证明的投诉后，立即于10月18日14时许联系网民询问原因，但网民拒绝接听电话。19日10时许，我局工作人员与网民电话联系反馈，向网民再次进行了政策解释，并建议网民，提前与报考院校及当地公安机关和教育部联系说明相关情况，确认相关信息。网民表示已咨询过大连市公安局相关部门，将会与报考院校及教育部等相关单位联系。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed030177a021e
2017年8月12日在百丽鞋店（大连福佳新天地一楼百丽集合店），以折后379元购买百丽旗下百思图女鞋，穿几次后鞋尖漏了一个洞，9月2日拿回百丽门店福佳新天地店售后，店员说：你这个鞋在保修期，会给你满意的答复，需要给客服看一下才知道是退或换。我回去等结果，一周后，我再次去福佳新天地店，店铺里鞋都收走了，店员说即将搬到香炉礁奥特莱斯店，以后售后都去那找，但并没有给出我的处理结果。让回去等，后来打官方客服电话，客服说：处理结果是由于美甲划伤。我再三强调从未在脚上做过美甲，但客服再三表示这是公司处理结果，不予退还，是否可以维修仍需要咨询门店。但门店的电话一直打不通，至今也没有给我结果，鞋也没有还给我。对于这个结果我很不满意，首先，我没有做美甲，正常穿着、在三包期内，为什么不能退换？并且，售后进行了一个月百丽都没有给出满意的答复。,2017-09-30 11:20:03,投诉香炉礁奥特莱斯百丽鞋店集合店,2017-10-25 16:02:40,长兴管理所,G20170930-0006,已办结,经营者已将消费者的鞋进行维修，该纠纷已顺利解决。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed0c25de00253
"现实名举报大连市金普新区财政金融局存在严重失职渎职，官商勾结的腐败行为，特向上级部门反映如下问题：一、大连市人民政府早在2013年6月8日下发《大连市人民政府关于印发大连市权益类及大宗商品类交易场所监督管理暂行办法的通知（大政发[2013]33号）》,通知明确规定审批的交易所不得违反国务院37、38号的规定，而大连市开发区财政金融局置国家地方法规于不顾，借国家金融改革的名义，大肆审批交易所,而此类交易所严重违反了国务院37、38号的规定，采取集合竞价、连续竞价、电子撮合、匿名交易、做市商等集中交易方式进行交易；并通过网络进行诱骗和价格操纵，而大连金普新区金融局作为监管者不作为，不监管，纵容中合商品交易中心（大连）有限公司大肆进行诈骗和非法经营，使广大的投资者苦不堪言，血本无归。二、大连市金普新区金融局面对受害者的投诉举报不受理，不闻不问，百般推脱责任，致使广大受害群众投诉无门，欲哭无泪；对交易所的违法犯罪行为纵容包庇，对发现的犯罪线索不主动向公安机关移送，完全丧失监管者的基本责任。三、存在封建衙门作风，严重败坏党和政府的形象。在十九大期间也没有领导值班，当受害者要求见领导反映诉求时，保安百般阻挡，开口相骂（有视频为证），难道我们的人民政府比封建衙门还难进，我们的人民公仆比封建官老爷还难见。希望政府上级监管部门，能纠正其不正之风，彻查基层政府机关庸政懒政，使违法经营的公司早日得到惩处。大连市金普新区财政金融局致广大受害者利益于不顾，一心包庇违法份子，存在严重失职渎职和官商勾结的严重腐败行为，希纪检监察部门对大连市金普新区财政金融局展开调查，清除内部腐败分子，追究责任人的失职渎职责任，打击犯罪，为受害群众的伸张正义。",2017-09-30 11:20:46,举报大连市金普新区财政金融局存在严重失职渎职，官商勾结,2017-10-23 09:58:25,金普新区财政金融局,G20170930-0007,已办结,尊敬的网友您好：根据全市的监管要求和清整部署，中合商品交易中心现已整改下线全部线上交易。针对您反映的交易中心涉嫌违法犯罪的问题，我局将在全市清理整顿的统一部署下，根据交易场所的整改情况和市清理整顿领导小组的验收结果配合处置，同时建议您向公安机关、人民检察院或人民法院报案或举报；针对您反映的相关人员存在严重的失职渎职，官商勾结等问题，建议您向纪检监察部门反映。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed0c8f1290255
我实名举报中合商品交易中心（大连）有限公司法人代表，党支部书记黄元玲，涉嫌非法经营，诈骗，行贿受贿，职务侵占，转移资产，涉及受害群众众多，数额巨大，造成大量受害人上访，投诉，严重败坏了党的声誉，破坏了党的纪律，损坏了党和政府的形象。作为一名受害者和普通公民，强烈请求上级部门对黄元玲违反党纪国法的恶劣行径进行严查，清除党内的害群之马，将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。对其违法犯罪行为予以严惩，保护广大受害群众的切身利益和正常的经济环境，维护党和政府的良好形象，保障社会的和谐稳定。黄元玲的具体犯罪事实如下：一、黄元玲利用中国供销集团（大连）经贸有限公司参股中合商品交易交易中心的情况，大量招募会员单位，并伙同会员单位大量招收所谓的业务员，指使他们在网上利用QQ、微信等社交工具，冒充美女和股票大师，在网络上大肆宣扬是中国供销集团的国资背景，诱骗缺乏金融知识的群众到其交易平台投资所谓的邮币卡，然后利用其自购交易软件的后门和制定的有利于其会员单位的交易规则，操控价格，通过喊单，指导客户在高位接盘后（一枚市场上一两块钱的邮票被他们人为推高到几百元甚至几千元，严重偏离市场价格），制造十几甚至几十个连续跌停，将所有投资客户的资产洗劫一空。致使很多人血本无归，倾家荡产。已涉嫌非法经营罪和公安部公布的48种网络电信诈骗的一种“网络金融平台诈骗”。二、今年一月份，中合商品交易中心（大连）有限公司因严重违反国务院的37号，38号文件精神，从事非法证券交易，并涉嫌诈骗等问题，被强制关停所有交易，等待处理。在大量受害群众到大连金普新区金融局和高新园区分局维权报案之时，黄元玲又指使其手下的孙铭振，秦勇等人，大肆贿赂金融局和公安局内部的腐败分子，致使受害者投诉无门（监管部门金融局不管，甚至连门都不让进），报案无人受理（我和几个报案人经过多次信访才接受报案，但却迟迟不予立案，至今已有4个月）。三、黄元玲在阻挠受害群众投诉和报案的同时，还伙同公司内部人员大肆毁灭证据，转移资产，由于监管部门和公安机关迟迟不采取必要的措施，致使她们有足够的时间销毁证据，转移资产，六七月份时公司还在正常运营，到九月份时，已经人去楼空，公司空无一人，所有办公设备已被转移一空。四、黄元玲作为一名共产党员，已严重背离了党的宗旨，严重违反政治纪律和政治规矩、工作纪律，为谋取个人利益大肆进行违法犯罪活动；作为党的基本干部，理想信念丧失，毫无宗旨意识，政绩观扭曲，严重违反党的纪律，并涉嫌违法犯罪，性质十分恶劣，情节特别严重，应予严肃处理。,2017-09-30 11:24:31,中合商品交易中心（大连）有限公司法人代表，党支部书记黄元玲，涉嫌非法经营，诈骗，行贿受贿，职务侵占，转移资产,2017-10-09 11:15:43,金普新区财政金融局,G20170930-0008,已办结,尊敬的网友您好：关于您反映的黄元玲同志涉嫌非法经营，诈骗等违法行为建议向公安机关提出，关于您反映的黄元玲同志行贿受贿，职务侵占，转移资产等严重违反党纪问题，建议您向纪检监察部门提出。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed0ccfbe10258
2017年8月12日在百丽鞋店（大连福佳新天地一楼，现已搬迁至香炉礁奥特莱斯），以379元购买百丽集团百思图女鞋，正常穿着几次后鞋尖漏洞，9月2日拿到百丽鞋店（大连福佳新天地店售后），当时店员说店长不在，需要等店长来了后拿到客服，再给出处理结果，但是这个鞋在三包期内，或退或换，一定会给出满意答复。回去等一周后无音讯，再次去福佳新天地百丽鞋店（当时店内鞋子清空，店员说将搬到香炉礁奥特莱斯），店内人员表示仍在处理，让回去等结果，她说客服怀疑我做了美甲，我当时穿的凉鞋，让她看了我脚，并没有做美甲，我再三表示从没在脚上做过美甲。后来多次联系官方客服，都没给出合理解释。至今鞋子不知去向，官方给出的答复是：由于美甲划伤不予退换，能否维修尚不知。已经一个月了，一直是这样的答复来搪塞我。这个售后结果我很不满意，这等同于欺诈消费者钱财，在三包期内，正常穿着，为什么不予退换？并且一直在拖延时间不给处理,2017-09-30 11:32:01,百丽集团售后无保障，大连香炉礁奥特莱斯百丽集合店，三包期内出现质量问题推脱不解决！,2017-10-25 16:04:26,长兴管理所,G20170930-0009,已办结,经营者已将消费者的鞋进行维修，该纠纷已顺利解决。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed0cd5b960259
我的情况是2017年大连理工硕士毕业，现在需要迁入大连市高新区的单位集体户口，网上预审的时候需要上传《原籍户口迁移证》。在东港市公安局询问的结果是可以在网上办理。可以网上办理吗？是哪个网站？,2017-09-30 17:18:59,原籍户口迁移证的办理,2017-10-11 13:32:05,高新园区分局,G20170930-0013,已办结,尊敬的网友您好：只要你在择业期限内，并毕业生派遣证派往地址是大连，可持毕业证、毕业生派遣证、户口簿等手续直接到户籍地派出所打印出户口迁移证，再网上传照片。这是辽宁省公安厅对毕业生迁移户口统一规定。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed213da8602a4
"本公司为大连智慧旅游电子商务有限公司企业会员，会员id销售商ID：1003,本公司与2017年8月18日，申请提现4076元，智慧旅游公司，各种接口百般推诿，财务表示不知情，经理表示不负责，客服一直说帮着催，各种推诿，拒绝付款，请市场监督局领导督办这种不诚信行为。",2017-09-30 18:17:20,投诉大连智慧旅游电子商务有限公司,2017-10-09 12:37:55,大连市公共行政服务中心,G20170930-0015,已办结,尊敬的网友您好：请提供被投诉公司的地址以便处理，感谢您的支持！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed246a2db02ae
大连海创半山花园自2012年交付使用至今，由于房屋质量没按标准操作，窗户和窗口不匹配，造成140户有余住户大面积漏雨六年整。多年来我们年年报修均没得到彻底解决，致使今年雨水有外墙直接往屋内灌雨水，已严重影响我们的正常生活。从7月份至今我们找物业协调至今未果，致使我们精神上很受伤害。多次想电视台新闻热线反映也没有下文。作为大连市居民我们找不到解决我们问题的部门，更找不到安居生活的出路何在。走投无路之际想到人大代表，百姓的父母官，恳请政府出面帮助我们协调此事，争取让我们早日过上本该有安居生活。,2017-10-01 09:37:18,六年了，我买的安居生活何在,2017-10-10 09:51:29,高新技术产业园区管理委员会,G20171001-0001,已办结,尊敬的网友您好：诉求大连海创半山花园自2012年交付使用至今，由于房屋质量没按标准操作，窗户和窗口不匹配，造成140户有余住户大面积漏雨六年整。属开发商交房历史遗留问题，已反馈规建局质监站依诉办理。质监站电话：84796316于同志,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed585c03d02e0
我是2014年11月退休的公务员，赶上了养老金并轨的首班车，至今还是拿的按2014年9月依老办法计算的养老金。较正常退休每月少拿1500-2000元。已过去3年整了，养老金还没理顺，请问是什么原因？今年9月份大连社保部门给我们每月增补了518元，又是怎么事？我的要求不高，仅请大老爷讲明怎么事就可以了。别太任性了行吗？求您了。,2017-10-01 10:44:19,关于理顺养老金问题,2017-10-10 16:57:23,社保中心,G20171001-0002,已办结,尊敬的网友您好：鉴于您在纳入我中心发放养老金前已退休，其当前的退休待遇是由单位负责办理的，因此在收到诉求件后，我们首先与您单位取得了联系，将您的诉求告知了单位专管人员，并要求单位对您作出解释；之后又与您电话取得了联系，对今年9月份增资情况及相应文件依据作出了详细解释，同时也对您提出的养老金未理顺的原因做出了解答。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed5c2a11802e7
没有正式合同，离职签了辞职，工作了接近四个月，前俩月开了工资1千左右，每天工作早八点到晚上8点，一个月几乎一两天休息。这俩月直接说等电话，一个电话都没有，门岗不让进，钱也要不回来，恳求帮助,2017-10-01 14:41:50,您好，大连第二互感器集团拖欠工资，生活困难。,2017-10-20 09:52:59,普兰店区人社局,G20171001-0005,已办结,诉求人10月20日9:53来电称问题已经协商，要求撤诉，新工单编号是20171020-00276，8102号操作。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed6a776c002f9
"我带父母从西北到东北几个城市来旅游，在9月30日在沈阳火车站候车时，有沈铁旅服的推销大连旅顺精品游。说是包含8大景点，3个收费项目。也有自费项目，想玩就交钱，不想玩的话就不交钱。我们三个就交了钱。等到10月1日真正开始玩的时候，导游女姓王，就说要大家买套票450块，全票几个景点包括狮虎园，4D影院，坐船出海等。因为我们已经在几个城市玩了10天了，所以不想参加自费项目。导游就说，那你们跟着也没有意思，自己坐出租车回去吧。说我付的钱只能看一场人妖表演。我父母已经70岁左右，结果几次到景点之前大概1-2公里导游就说：你们三个下车，在路边等着。我也知道车上也有没有买套票的，好几个是在大连火车站或大连渡口预定的旅行。也许因为他们乖巧吧，就把他们拉到景点门口休息。而把我们就在前不着村后不着店，连个厕所也找不到的地方被放下了。这天下午还刮风，把我们冻得不行。经过多次跟卖给我票的在沈阳火车站的小青年沟通，他联系了大连这家旅行社的经理，经理答应说给我们派个车把按照预定没有玩的行程补上。虽然最后来的司机服务非常好，但是在中国国庆发生的这个事情实在让人不舒服。旅行社跟车的三个年轻人也有父母或爷爷奶奶吧，这样对待一对老年人，真是让人寒心啊！而且大连以往在多数人的心中是个文明城市，但这次事件实在是糟蹋了大连这个响亮的名字。这家旅行社的名字自始至终也没有告诉乘客，也许叫做铁道旅行社或者日月旅行社啥的。车号J8451,是辆土黄色的KINGLONG.相关的联系电话17160227172，13204076783。业务员电话15942414935。因我多数时间在国外，如需任何资料，可以邮件联系我lilyfeng_cn2@hotmail.com，或电话0046709236074(瑞典)，15900942858(中国)。",2017-10-01 23:45:10,铁道旅行社虚假宣传，强买强卖,2017-10-02 08:28:22,大连市公共行政服务中心,G20171001-0008,已办结,尊敬的网友您好：由于您的交费地在沈阳，提供不了大连旅行社的具体名称以及详细地址，就您所反映的现象我平台会反映到大连市旅游局，加强对大连市旅行社的监管力度，杜绝此情况再次发生，感谢您的留言。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015ed89bfa0f031f
本人新青年汇住户，于10月2日发现家里暖气漏水，小区物业说这归供暖公司管，向物业要来两个电话，特意询问十一期间是否供暖公司休息，回答是准定有人值班的。打了一上午电话无人接听。电话号码：8732127287322037这是擅离职守吗？过节期间就不管老百姓的事宜了吗？,2017-10-02 09:34:39,供热公司擅离职守,2017-10-02 10:01:04,大连市公共行政服务中心,G20171002-0003,已办结,尊敬的网友您好：请您提供您家的具体地址，或拨打12345市民服务热线反映。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015eda9e0671032f
本人实名举报大连市公安局高新园区分局对群众报案不受理，受理案件后不侦查、不立案，拖延案件办理，涉嫌官商勾结、包庇犯罪，纵容犯罪分子毁灭证据，转移资产。为督促大连市公安局高新园区分局践行执法为民，打击犯罪的使命，恳请上级机关彻查大连市公安局高新园区分局的拖延办案，包庇犯罪的行为，严惩公安内部的腐败分子，为人民群众伸张正义。现将具体问题反映如下：一、懒政怠政不作为。包括举报人在内的被中合商品交易中心（大连）有限公司实施网络金融诈骗的6名受害者(6人共计被骗200多万元)，2017年6月6日到大连市公安局高新园区分局报案，但该分局以管辖权的理由推诿不受案，受害人往返3天寻找证据。之后分局经侦大队在受害人提供的证据面前无话可说，却又以领导不让受案为理由拒绝受案，受害人据理力争“难道领导的个人权利能凌驾于公安部的规定之上吗？”在争辩毫无作用的情况下，受害人无奈到市政府信访，他们迫于正义的压力，才接受了报案。二、受案后消极应对，匆忙做出不予立案的决定。分局经侦大队对申请人提交的案件材料所涉嫌违法犯罪线索不进行深入调查取证，很多犯罪线索和证据根本就没有查，在模棱两可的情况下，拖延到侦查期限到期时才做出不予立案的决定。申请人在申请复议后，又经过漫长的等待，终于等来了撤销不予立案的刑事复议决定书。刑事复议决定书明确指出：“犯罪相关证据尚未在初查阶段查清”，也确切说明了办案警察对案件调查不深入，相关证据未查清，匆忙做出不予立案的决定，有包庇、纵容犯罪的嫌疑。受害人请求上级机关尽快纠正大连市高新园区公安分局对涉及全国众多受害者，危害国家金融安全的金融诈骗案件极其错误的认识和严重违反法律法规的行为。三、大连市公安局高新园区分局对涉嫌犯罪分子包庇纵容、对打击犯罪推脱敷衍，涉嫌存在官商钱权交易，涉嫌重大利益输送，导致涉案金额数额巨大，受害群体众多，以黄元玲为首的涉嫌诈骗和非法经营的犯罪团伙得不到应有的惩罚，至今逍遥法外，并纵容其销毁证据，转移资产，人民群众的利益得不到保护。四、大连市高新园区公安分局全局领导都知道案件的情况，但是至今4个月无任何进展，明知申请人的举报事实确凿，证据充分，却故意拖延时间，为案件的调查处理设置各种障碍，情节恶劣严重，导致犯罪分子依然逍遥法外，态度嚣张至极。大连市公安局高新园区分局处理问题“坚持以局领导权力为核心”的标准，置国家法律法规和自身的职责于不顾，对群众的报案置之不理，漠不关心，受案后又不调查，不立案，借故拖延；公安分局领导甘心做网络诈骗平台的保护伞，完全丧失了公安机关打击犯罪，保护人民群众生命财产安全的基本宗旨。请上级机关严查举报事实所涉及的违法人员，严惩漠视群众利益，为官不作为的公安队伍腐败分子。如果此问题被扣押或瞒报，得不到领导的重视，不能尽快得到答复和解决，我们将在十九大期间进京上访，讨回公道，让坏人受到惩罚，让正义得到伸张。检举人：刘建星电话：13303121290,2017-10-03 08:55:36,大连市公安局高新园区分局不作为，官商勾结，包庇犯罪,2017-10-10 13:42:46,高新园区分局,G20171003-0001,已办结,尊敬的网友您好：去年6月以来，全国陆续有多家公安机关来我局请求协查，大连再生资源交易所有限公司部分会员单位利用“大连油”交易品种涉嫌诈骗的犯罪证据。部分会员单位以非法占有为目的，用虚构事实或者隐瞒真相的方法骗取投资者资金，会员单位的行为涉嫌诈骗犯罪，目前我局正积极协助外地公安机关开展工作。根据《刑诉法》对于刑事案件管辖之规定，应由犯罪地公安机关管辖，建议受害人携带相关证据材料到汇款地或会员单位所在地公安机关报案。大连再生资源交易所有限公司的会员单位是独立的法人，与大连再生资源交易所有限公司没有隶属关系，系合同合作关系。经过调查，目前尚未有证据证明该公司经营活动涉嫌犯罪。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015edfb946fb0352
"本人刘建星，现实名举报大连市金普新区财政金融局存在严重失职渎职，官商勾结的腐败行为，特向上级部门反映如下问题：一、大连市人民政府早在2013年6月8日下发《大连市人民政府关于印发大连市权益类及大宗商品类交易场所监督管理暂行办法的通知（大政发[2013]33号）》,通知明确规定审批的交易所不得违反国务院37、38号的规定，而大连市开发区财政金融局置国家地方法规于不顾，借国家金融改革的名义，大肆审批交易所,而此类交易所严重违反了国务院37、38号的规定，采取集合竞价、连续竞价、电子撮合、匿名交易、做市商等集中交易方式进行交易；并通过网络进行诱骗和价格操纵，而大连金普新区金融局作为监管者不作为，不监管，纵容中合商品交易中心（大连）有限公司大肆进行诈骗和非法经营，使广大的投资者苦不堪言，血本无归。（仅已知的包括我在内的6名受害者就被骗200多万元）二、大连市金普新区金融局面对受害者的投诉举报不受理，不闻不问，百般推脱责任，致使广大受害群众投诉无门，欲哭无泪；对交易所的违法犯罪行为纵容包庇，对发现的犯罪线索不主动向公安机关移送，完全丧失监管者的基本责任。三、存在封建衙门作风，严重败坏党和政府的形象。在十九大期间也没有领导值班，当受害者要求见领导反映诉求时，保安百般阻挡，开口相骂（有视频为证），难道我们的人民政府比封建衙门还难进，我们的人民公仆比封建官老爷还难见。希望政府上级监管部门，能纠正其不正之风，彻查基层政府机关庸政懒政，使违法经营的公司早日得到惩处。大连市金普新区财政金融局致广大受害者利益于不顾，一心包庇违法份子，存在严重失职渎职和官商勾结的严重腐败行为，希纪上级部门对大连市金普新区财政金融局展开调查，清除内部腐败分子，追究责任人的失职渎职责任，打击犯罪，为受害群众的伸张正义。如果此问题被扣押或瞒报，得不到领导的重视，不能尽快得到答复和解决，我们将在十九大期间进京上访，讨回公道，让坏人受到惩罚，让正义得到伸张。检举人：刘建星电话：13303121290",2017-10-03 09:07:53,金普新区财政金融局失职渎职，官商勾结，包庇犯罪,2017-10-13 08:09:01,大连市公共行政服务中心,G20171003-0004,已办结,尊敬的网友您好：此诉求与G20171003-0005反应内容一致，建议等待G20171003-0005的处理结果，感谢您的支持！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff8080815ec30d96015edfc3fc600355
